192.168.1.5 - - [28/Dec/2019:15:09:13 +0000] "GET /test HTTP/1.1" 200 72 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36"
192.168.1.5 - - [28/Dec/2019:15:09:14 +0000] "GET /favicon.ico HTTP/1.1" 404 326 "http://192.168.1.5:17178/test" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36"
192.168.1.4 - - [28/Dec/2019:15:32:56 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 126 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:32:56 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 183 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:33:25 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 217 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:33:25 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 129 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:45:35 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:45:36 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 139 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:45:36 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 111 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:45:36 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:45:36 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 142 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:45:36 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 113 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:45:50 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:45:50 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 144 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:45:50 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 115 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:46:00 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:46:00 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 116 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:46:00 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 149 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:46:57 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 116 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:46:57 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 149 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:47:03 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 116 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:47:03 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 149 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:47:05 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 116 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:47:05 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 149 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:47:07 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 129 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:47:07 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 217 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:47:09 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 116 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:47:09 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 149 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:09 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 116 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:09 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 149 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:21 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:21 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:21 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 163 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:28 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:28 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 123 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:28 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 168 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:33 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:33 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 126 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:33 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 171 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:39 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:39 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 127 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:39 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 174 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:50 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:50 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 129 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:50 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 177 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:56 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:56 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 131 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:48:56 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 179 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:49:11 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 131 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:49:11 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 179 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:51:35 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 126 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:51:35 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 183 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:51:37 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 131 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:51:37 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 179 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:51:39 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 129 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:51:39 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 217 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:51:41 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 217 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:51:41 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 129 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:51:46 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 131 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:51:46 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 179 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:52:22 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 155 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:15:52:22 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:44:04 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 179 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:44:04 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 131 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:07 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:08 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 135 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:08 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 111 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:14 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:14 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 141 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:14 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 115 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:20 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:20 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 146 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:20 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 116 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:27 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:28 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:28 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 149 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:34 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:34 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 123 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:34 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 152 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:39 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:39 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 154 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:49:39 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 125 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:31 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 125 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:31 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 154 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:39 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 131 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:39 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 179 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:44 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 183 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:44 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 126 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:46 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 129 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:46 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 217 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:49 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 131 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:49 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 179 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:51 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 125 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:51 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 154 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:54 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 183 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:50:54 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 126 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:51:04 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 131 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:51:04 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 179 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:51:11 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 125 "-" "okhttp/3.5.0"
192.168.1.4 - - [28/Dec/2019:16:51:11 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 154 "-" "okhttp/3.5.0"
