192.168.1.3 - - [20/Dec/2019:14:39:00 +0000] "GET /test HTTP/1.1" 200 72 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36"
192.168.1.2 - - [20/Dec/2019:14:39:46 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.2 - - [20/Dec/2019:14:49:26 +0000] "POST /rdc?method=batch2 HTTP/1.1" 500 554 "-" "okhttp/3.5.0"
192.168.1.2 - - [20/Dec/2019:14:49:34 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.2 - - [20/Dec/2019:14:53:53 +0000] "POST /rdc?method=query2 HTTP/1.1" 500 488 "-" "okhttp/3.5.0"
192.168.1.2 - - [20/Dec/2019:14:53:55 +0000] "POST /rdc?method=query2 HTTP/1.1" 500 488 "-" "okhttp/3.5.0"
192.168.1.2 - - [20/Dec/2019:14:53:55 +0000] "POST /rdc?method=query2 HTTP/1.1" 500 488 "-" "okhttp/3.5.0"
192.168.1.2 - - [20/Dec/2019:14:56:06 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 149 "-" "okhttp/3.5.0"
192.168.1.2 - - [20/Dec/2019:14:56:07 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
192.168.1.2 - - [20/Dec/2019:15:05:40 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 212 "-" "okhttp/3.5.0"
192.168.1.2 - - [20/Dec/2019:15:07:17 +0000] "POST /rdc?method=query2 HTTP/1.1" 200 212 "-" "okhttp/3.5.0"
192.168.1.2 - - [20/Dec/2019:15:07:17 +0000] "POST /rdc?method=batch2 HTTP/1.1" 200 120 "-" "okhttp/3.5.0"
